"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Challenging DOM","16","0","Verify Challenging DOM buttons interactions and table content","0"
"0","","0","Checkboxes","1","0","Verify Checkboxes interactions","0"
"0","","0","Dropdown List","2","0","Tests Dropdown List functionality","0"
"0","","0","Context Menu","2","0","Verify Context Menu interactions","0"
"0","","0","Dynamic Content","1","0","Tests Dynamic Content functionality","0"
"0","","0","Drag and Drop","1","0","Tests Drag and Drop functionality","0"
"0","","0","Dynamic Loading","2","0","Tests Dynamic Loading functionality","0"
"0","","0","Dynamic Controls","2","0","Tests Dynamic Controls functionality","0"
"0","","0","A/B Testing","1","0","Verify content on A/B Testing page","0"
"0","","0","Add/Remove Elements","2","0","Verify adding and removing elements on the page","0"
"0","","0","Basic Auth","3","0","Tests Basic Autorization login scenatios","0"
"0","","0","Digest Authentication","3","0","Verify Digest Authentication scenarios","0"
"0","","0","Broken Images","2","0","Verify the correct number of broken and valid images on the page","0"
